Suburb,Rooms,Type,Price,Method,Postcode,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Postcode_Agrupado,Airbnb_Price
Airport West,2,u,500000.0,VB,3042,1,1,168.0,86.0,2011,Moonee Valley,-37.7215,144.8864,Western Metropolitan,3099.0,81.57143
Airport West,3,h,720000.0,S,3042,1,1,620.0,,,Moonee Valley,-37.7173,144.8872,Western Metropolitan,3099.0,81.57143
Airport West,4,h,785000.0,S,3042,1,2,597.0,127.0,,Moonee Valley,-37.7259,144.8792,Western Metropolitan,3099.0,81.57143
Airport West,6,h,725000.0,SP,3042,3,2,976.0,186.0,1980,Moonee Valley,-37.7239,144.8735,Western Metropolitan,3099.0,81.57143
Airport West,2,t,450000.0,S,3042,1,1,110.0,90.0,2015,Moonee Valley,-37.7216,144.871,Western Metropolitan,3099.0,81.57143
Airport West,2,u,515000.0,S,3042,1,1,141.0,73.0,2013,Moonee Valley,-37.7298,144.8883,Western Metropolitan,3099.0,81.57143
Airport West,2,u,530000.0,S,3042,1,1,120.0,94.0,2012,Moonee Valley,-37.7234,144.8792,Western Metropolitan,3099.0,81.57143
Airport West,3,h,895000.0,PI,3042,1,5,1063.0,133.0,1975,Moonee Valley,-37.7249,144.8728,Western Metropolitan,3099.0,81.57143
Airport West,3,h,805000.0,S,3042,1,1,0.0,105.0,1950,Moonee Valley,-37.7217,144.8783,Western Metropolitan,3099.0,81.57143
Airport West,3,u,752000.0,S,3042,1,1,265.0,130.0,1993,Moonee Valley,-37.7302,144.8855,Western Metropolitan,3099.0,81.57143
Airport West,2,u,440000.0,S,3042,1,1,192.0,,,Moonee Valley,-37.7177,144.8787,Western Metropolitan,3099.0,81.57143
Airport West,5,h,755000.0,PI,3042,2,2,596.0,,,Moonee Valley,-37.7248,144.8699,Western Metropolitan,3099.0,81.57143
Airport West,3,t,700000.0,PI,3042,2,2,165.0,133.0,2009,Moonee Valley,-37.727,144.887,Western Metropolitan,3099.0,81.57143
Airport West,3,h,830000.0,S,3042,1,2,971.0,113.0,1960,Moonee Valley,-37.7186,144.876,Western Metropolitan,3099.0,81.57143
Airport West,2,u,462500.0,S,3042,1,1,164.0,,2003,Moonee Valley,-37.7218,144.8863,Western Metropolitan,3099.0,81.57143
Airport West,3,h,670000.0,SP,3042,2,2,657.0,,,Moonee Valley,-37.7269,144.8742,Western Metropolitan,3099.0,81.57143
Airport West,2,h,675000.0,S,3042,1,1,612.0,100.0,1975,Moonee Valley,-37.7187,144.8765,Western Metropolitan,3099.0,81.57143
Airport West,3,h,1042000.0,S,3042,2,5,612.0,174.0,1950,Moonee Valley,-37.7173,144.8796,Western Metropolitan,3099.0,81.57143
Airport West,3,h,910000.0,S,3042,1,1,775.0,,,Moonee Valley,-37.7231,144.8835,Western Metropolitan,3099.0,81.57143
Airport West,3,h,810000.0,PI,3042,3,2,555.0,192.0,1980,Moonee Valley,-37.7285,144.8694,Western Metropolitan,3099.0,81.57143
Airport West,3,h,715000.0,S,3042,2,2,422.0,126.0,1995,Moonee Valley,-37.7164,144.8792,Western Metropolitan,3099.0,81.57143
Airport West,3,h,790000.0,S,3042,1,3,614.0,,,Moonee Valley,-37.7194,144.8827,Western Metropolitan,3099.0,81.57143
Airport West,3,t,540000.0,SP,3042,2,1,161.0,101.0,2010,Moonee Valley,-37.7231,144.8802,Western Metropolitan,3099.0,81.57143
Airport West,3,t,825000.0,SP,3042,2,1,293.0,102.0,1960,Moonee Valley,-37.72,144.8776,Western Metropolitan,3099.0,81.57143
Airport West,3,h,685000.0,S,3042,1,1,579.0,113.0,1975,Moonee Valley,-37.7226,144.8733,Western Metropolitan,3099.0,81.57143
Airport West,3,h,805000.0,S,3042,1,1,623.0,,,Moonee Valley,-37.7184,144.882,Western Metropolitan,3099.0,81.57143
Airport West,2,u,510000.0,S,3042,1,1,141.0,76.0,,Moonee Valley,-37.7202,144.8797,Western Metropolitan,3099.0,81.57143
Airport West,3,h,612000.0,S,3042,2,1,212.0,,,Moonee Valley,-37.7181,144.8824,Western Metropolitan,3099.0,81.57143
Airport West,3,h,662000.0,S,3042,1,2,612.0,,,Moonee Valley,-37.7169,144.8815,Western Metropolitan,3099.0,81.57143
Airport West,4,h,978000.0,S,3042,3,2,532.0,,,Moonee Valley,-37.7263,144.869,Western Metropolitan,3099.0,81.57143
Airport West,3,h,720000.0,PI,3042,1,1,585.0,,,Moonee Valley,-37.72,144.878,Western Metropolitan,3099.0,81.57143
Airport West,4,h,765000.0,S,3042,1,2,509.0,,,Moonee Valley,-37.7261,144.8785,Western Metropolitan,3099.0,81.57143
Airport West,4,h,900000.0,S,3042,2,3,628.0,146.0,1975,Moonee Valley,-37.7256,144.8739,Western Metropolitan,3099.0,81.57143
Albert Park,2,h,1275000.0,S,3206,1,0,120.0,82.0,1900,Port Phillip,-37.8459,144.9555,Southern Metropolitan,3299.0,229.41803
Albert Park,2,h,1455000.0,S,3206,1,0,159.0,,,Port Phillip,-37.845,144.9538,Southern Metropolitan,3299.0,229.41803
Albert Park,3,h,1850000.0,S,3206,2,0,128.0,133.0,1890,Port Phillip,-37.8452,144.9488,Southern Metropolitan,3299.0,229.41803
Albert Park,2,h,1436000.0,S,3206,1,0,130.0,81.0,1900,Port Phillip,-37.8431,144.9565,Southern Metropolitan,3299.0,229.41803
Albert Park,2,h,1110000.0,S,3206,1,0,147.0,,1900,Port Phillip,-37.8444,144.9484,Southern Metropolitan,3299.0,229.41803
Albert Park,2,h,1550000.0,S,3206,1,1,167.0,,,Port Phillip,-37.8405,144.9521,Southern Metropolitan,3299.0,229.41803
Albert Park,4,h,2300000.0,S,3206,2,1,153.0,180.0,1880,Port Phillip,-37.8447,144.9523,Southern Metropolitan,3299.0,229.41803
Albert Park,3,t,1550000.0,VB,3206,2,2,718.0,,,Port Phillip,-37.8443,144.9598,Southern Metropolitan,3299.0,229.41803
Albert Park,3,h,1800000.0,VB,3206,2,1,132.0,159.0,1996,Port Phillip,-37.8415,144.952,Southern Metropolitan,3299.0,229.41803
Albert Park,2,h,2120000.0,S,3206,1,1,199.0,107.0,1900,Port Phillip,-37.8422,144.9554,Southern Metropolitan,3299.0,229.41803
Albert Park,3,h,1800000.0,VB,3206,1,1,253.0,,,Port Phillip,-37.8443,144.9579,Southern Metropolitan,3299.0,229.41803
Albert Park,3,h,1800000.0,S,3206,2,1,90.0,122.0,1900,Port Phillip,-37.8421,144.9571,Southern Metropolitan,3299.0,229.41803
Albert Park,2,h,1810000.0,PI,3206,1,0,240.0,,,Port Phillip,-37.8379,144.9539,Southern Metropolitan,3299.0,229.41803
Albert Park,5,h,2100000.0,S,3206,2,1,237.0,,,Port Phillip,-37.8436,144.9557,Southern Metropolitan,3299.0,229.41803
Albert Park,3,h,1300000.0,S,3206,1,0,129.0,,,Port Phillip,-37.8422,144.94899999999996,Southern Metropolitan,3299.0,229.41803
Albert Park,3,h,1370000.0,S,3206,2,2,0.0,85.0,2000,Port Phillip,-37.8451,144.9511,Southern Metropolitan,3299.0,229.41803
Albert Park,2,h,1000000.0,S,3206,1,0,288.0,,,Port Phillip,-37.8407,144.9523,Southern Metropolitan,3299.0,229.41803
Albert Park,2,h,1322500.0,S,3206,1,0,149.0,98.0,1890,Port Phillip,-37.8443,144.9481,Southern Metropolitan,3299.0,229.41803
Albert Park,2,h,1562500.0,S,3206,1,0,141.0,83.0,1890,Port Phillip,-37.8424,144.9562,Southern Metropolitan,3299.0,229.41803
Albert Park,3,h,2000000.0,VB,3206,2,1,211.0,147.0,1900,Port Phillip,-37.847,144.9575,Southern Metropolitan,3299.0,229.41803
Albert Park,3,h,1900000.0,S,3206,1,0,209.0,,1900,Port Phillip,-37.8468,144.9546,Southern Metropolitan,3299.0,229.41803
Albert Park,2,u,647000.0,S,3206,1,1,0.0,,,Port Phillip,-37.846,144.9542,Southern Metropolitan,3299.0,229.41803
Albert Park,3,h,2100000.0,SP,3206,1,1,120.0,123.0,1900,Port Phillip,-37.8427,144.9546,Southern Metropolitan,3299.0,229.41803
Albert Park,3,h,2000000.0,PI,3206,1,1,238.0,131.0,1890,Port Phillip,-37.8461,144.9528,Southern Metropolitan,3299.0,229.41803
Albert Park,1,u,442500.0,S,3206,1,0,0.0,34.0,1970,Port Phillip,-37.8421,144.9517,Southern Metropolitan,3299.0,229.41803
Albert Park,2,h,1340000.0,S,3206,1,0,136.0,,,Port Phillip,-37.846,144.9517,Southern Metropolitan,3299.0,229.41803
Albert Park,3,h,1801000.0,S,3206,1,1,202.0,,,Port Phillip,-37.8429,144.9493,Southern Metropolitan,3299.0,229.41803
Albert Park,3,h,1532000.0,S,3206,3,1,0.0,,,Port Phillip,-37.8415,144.9585,Southern Metropolitan,3299.0,229.41803
Albert Park,4,h,2140000.0,S,3206,2,1,183.0,145.0,1880,Port Phillip,-37.8434,144.9495,Southern Metropolitan,3299.0,229.41803
Albert Park,2,h,1750000.0,S,3206,1,1,162.0,,,Port Phillip,-37.8416,144.9488,Southern Metropolitan,3299.0,229.41803
Albert Park,2,h,980000.0,S,3206,1,0,79.0,68.0,1890,Port Phillip,-37.8387,144.9519,Southern Metropolitan,3299.0,229.41803
Albert Park,3,h,2030000.0,S,3206,2,0,152.0,,,Port Phillip,-37.8488,144.9551,Southern Metropolitan,3299.0,229.41803
Albert Park,3,h,1740000.0,PI,3206,2,2,147.0,134.0,1890,Port Phillip,-37.8448,144.9453,Southern Metropolitan,3299.0,229.41803
Albert Park,1,h,985000.0,S,3206,1,0,81.0,54.0,1900,Port Phillip,-37.8411,144.9497,Southern Metropolitan,3299.0,229.41803
Alphington,4,h,2000000.0,S,3078,2,4,853.0,263.0,1930,Darebin,-37.7707,145.0318,Northern Metropolitan,3099.0,111.202705
Alphington,3,h,1110000.0,S,3078,2,2,208.0,,2013,Darebin,-37.7854,145.0325,Northern Metropolitan,3099.0,111.202705
Alphington,3,h,1492000.0,S,3078,2,2,411.0,,,Darebin,-37.7713,145.0279,Northern Metropolitan,3099.0,111.202705
Alphington,4,h,1717500.0,S,3078,2,1,599.0,203.0,1925,Darebin,-37.7717,145.031,Northern Metropolitan,3099.0,111.202705
Alphington,2,u,525500.0,S,3078,1,1,88.0,60.0,1960,Darebin,-37.7791,145.0306,Northern Metropolitan,3099.0,111.202705
Alphington,2,t,805000.0,S,3078,2,3,155.0,140.0,2004,Darebin,-37.7804,145.0308,Northern Metropolitan,3099.0,111.202705
Alphington,2,u,465000.0,S,3078,1,1,0.0,,,Darebin,-37.7773,145.0314,Northern Metropolitan,3099.0,111.202705
Alphington,3,h,2000000.0,PI,3078,3,2,686.0,,,Darebin,-37.78,145.0341,Northern Metropolitan,3099.0,111.202705
Alphington,3,h,1540000.0,S,3078,1,2,592.0,,,Darebin,-37.7755,145.0288,Northern Metropolitan,3099.0,111.202705
Alphington,2,u,820000.0,S,3078,1,1,183.0,,,Darebin,-37.7747,145.0264,Northern Metropolitan,3099.0,111.202705
Alphington,4,h,1830000.0,S,3078,2,2,606.0,112.0,1970,Darebin,-37.7743,145.0316,Northern Metropolitan,3099.0,111.202705
Alphington,4,h,2100000.0,S,3078,2,2,575.0,271.0,2008,Darebin,-37.7723,145.0319,Northern Metropolitan,3099.0,111.202705
Alphington,3,h,865000.0,SP,3078,1,1,180.0,131.0,2010,Darebin,-37.7802,145.0243,Northern Metropolitan,3099.0,111.202705
Alphington,2,u,390000.0,VB,3078,1,1,0.0,60.0,1960,Darebin,-37.7773,145.0314,Northern Metropolitan,3099.0,111.202705
Alphington,2,t,650000.0,SP,3078,1,0,0.0,,,Darebin,-37.7848,145.025,Northern Metropolitan,3099.0,111.202705
Alphington,2,u,512000.0,S,3078,1,1,0.0,61.0,1965,Darebin,-37.7805,145.0262,Northern Metropolitan,3099.0,111.202705
Alphington,3,h,1165000.0,S,3078,1,2,979.0,,,Darebin,-37.7792,145.029,Northern Metropolitan,3099.0,111.202705
Alphington,4,h,1900000.0,SP,3078,2,2,556.0,272.0,1930,Darebin,-37.7844,145.0225,Northern Metropolitan,3099.0,111.202705
Alphington,3,h,1485000.0,SP,3078,1,0,597.0,,,Darebin,-37.7781,145.0284,Northern Metropolitan,3099.0,111.202705
Alphington,4,h,1950000.0,S,3078,2,3,589.0,210.0,1920,Darebin,-37.7719,145.0309,Northern Metropolitan,3099.0,111.202705
Altona,3,h,520000.0,VB,3018,2,1,352.0,242.0,2015,Hobsons Bay,-37.87,144.825,Western Metropolitan,3099.0,85.62162
Altona,5,h,1525000.0,S,3018,3,3,729.0,268.0,2005,Hobsons Bay,-37.8721,144.8105,Western Metropolitan,3099.0,85.62162
Altona,2,t,720000.0,S,3018,1,2,292.0,125.0,2013,Hobsons Bay,-37.8687,144.8197,Western Metropolitan,3099.0,85.62162
Altona,3,h,1120000.0,S,3018,1,2,506.0,120.0,1930,Hobsons Bay,-37.8693,144.8375,Western Metropolitan,3099.0,85.62162
Altona,4,h,780000.0,PI,3018,1,4,655.0,,,Hobsons Bay,-37.868,144.8154,Western Metropolitan,3099.0,85.62162
Altona,4,h,1780000.0,SP,3018,3,5,1057.0,220.0,1962,Hobsons Bay,-37.8681,144.819,Western Metropolitan,3099.0,85.62162
Altona,3,u,630000.0,S,3018,1,2,311.0,94.0,1955,Hobsons Bay,-37.8702,144.8143,Western Metropolitan,3099.0,85.62162
Altona,2,u,406000.0,SP,3018,1,1,65.0,,,Hobsons Bay,-37.8693,144.8171,Western Metropolitan,3099.0,85.62162
Altona,3,h,660000.0,VB,3018,1,1,602.0,123.0,1955,Hobsons Bay,-37.8616,144.8116,Western Metropolitan,3099.0,85.62162
Altona,3,h,683500.0,S,3018,1,1,530.0,,,Hobsons Bay,-37.8594,144.817,Western Metropolitan,3099.0,85.62162
Altona,2,u,580000.0,S,3018,1,1,225.0,93.0,1988,Hobsons Bay,-37.8696,144.827,Western Metropolitan,3099.0,85.62162
Altona,3,h,1335000.0,S,3018,1,4,777.0,22.0,1953,Hobsons Bay,-37.8697,144.8249,Western Metropolitan,3099.0,85.62162
Altona,3,t,800000.0,SP,3018,2,2,280.0,,1997,Hobsons Bay,-37.8734,144.8143,Western Metropolitan,3099.0,85.62162
Altona,2,u,510000.0,S,3018,1,1,127.0,76.0,1990,Hobsons Bay,-37.8686,144.8182,Western Metropolitan,3099.0,85.62162
Altona,4,h,1070000.0,S,3018,2,2,695.0,,,Hobsons Bay,-37.8733,144.8147,Western Metropolitan,3099.0,85.62162
Altona,2,u,425000.0,S,3018,1,2,115.0,57.0,1980,Hobsons Bay,-37.871,144.8185,Western Metropolitan,3099.0,85.62162
Altona,3,u,605000.0,S,3018,2,2,230.0,,,Hobsons Bay,-37.8646,144.827,Western Metropolitan,3099.0,85.62162
Altona,3,t,705000.0,S,3018,2,2,197.0,152.0,,Hobsons Bay,-37.8579,144.8181,Western Metropolitan,3099.0,85.62162
Altona,2,u,391000.0,SP,3018,1,1,0.0,65.0,1965,Hobsons Bay,-37.8678,144.8384,Western Metropolitan,3099.0,85.62162
Altona,2,u,440000.0,SP,3018,1,1,0.0,,,Hobsons Bay,-37.8659,144.83100000000005,Western Metropolitan,3099.0,85.62162
Altona,4,h,845000.0,S,3018,1,2,745.0,130.0,1950,Hobsons Bay,-37.8658,144.8155,Western Metropolitan,3099.0,85.62162
Altona,3,t,743000.0,SP,3018,2,2,211.0,176.0,,Hobsons Bay,-37.8698,144.816,Western Metropolitan,3099.0,85.62162
Altona,3,u,730000.0,SP,3018,2,1,69.0,141.0,2014,Hobsons Bay,-37.868,144.8286,Western Metropolitan,3099.0,85.62162
Altona,3,h,635000.0,S,3018,1,4,625.0,,1960,Hobsons Bay,-37.8611,144.8114,Western Metropolitan,3099.0,85.62162
Altona,2,u,620000.0,SP,3018,1,1,168.0,,,Hobsons Bay,-37.8676,144.8202,Western Metropolitan,3099.0,85.62162
Altona,2,u,447000.0,S,3018,1,1,137.0,77.0,1990,Hobsons Bay,-37.8655,144.8299,Western Metropolitan,3099.0,85.62162
Altona,3,u,730000.0,SP,3018,2,1,70.0,,,Hobsons Bay,-37.868,144.8287,Western Metropolitan,3099.0,85.62162
Altona,3,h,678000.0,S,3018,1,2,606.0,87.0,1950,Hobsons Bay,-37.8608,144.8124,Western Metropolitan,3099.0,85.62162
Altona,2,u,580000.0,PI,3018,2,1,175.0,76.0,2013,Hobsons Bay,-37.8687,144.8268,Western Metropolitan,3099.0,85.62162
Altona,3,h,712000.0,S,3018,1,2,363.0,,,Hobsons Bay,-37.8674,144.8375,Western Metropolitan,3099.0,85.62162
Altona,3,h,840000.0,SP,3018,2,2,534.0,136.0,1965,Hobsons Bay,-37.86,144.8245,Western Metropolitan,3099.0,85.62162
Altona,3,h,980000.0,S,3018,1,2,724.0,,,Hobsons Bay,-37.8672,144.817,Western Metropolitan,3099.0,85.62162
Altona,3,t,605100.0,S,3018,2,0,265.0,,,Hobsons Bay,-37.8583,144.8172,Western Metropolitan,3099.0,85.62162
Altona,3,h,880000.0,PI,3018,3,1,577.0,,,Hobsons Bay,-37.8699,144.8235,Western Metropolitan,3099.0,85.62162
Altona,3,u,577000.0,S,3018,2,1,205.0,113.0,2007,Hobsons Bay,-37.8684,144.815,Western Metropolitan,3099.0,85.62162
Altona,4,h,1030000.0,S,3018,1,0,797.0,,,Hobsons Bay,-37.8663,144.8387,Western Metropolitan,3099.0,85.62162
Altona,3,u,605000.0,S,3018,1,2,181.0,,,Hobsons Bay,-37.8659,144.822,Western Metropolitan,3099.0,85.62162
Altona,3,h,753000.0,S,3018,2,2,529.0,,,Hobsons Bay,-37.8612,144.8247,Western Metropolitan,3099.0,85.62162
Altona,2,h,857000.0,SP,3018,2,1,675.0,100.0,1950,Hobsons Bay,-37.8653,144.8129,Western Metropolitan,3099.0,85.62162
Altona,3,h,1500000.0,S,3018,1,1,929.0,,,Hobsons Bay,-37.8651,144.832,Western Metropolitan,3099.0,85.62162
Altona,3,u,730000.0,SP,3018,2,1,70.0,3.0,2014,Hobsons Bay,-37.868,144.8285,Western Metropolitan,3099.0,85.62162
Altona,3,h,900000.0,S,3018,1,4,697.0,,,Hobsons Bay,-37.871,144.8075,Western Metropolitan,3099.0,85.62162
Altona,3,h,740000.0,S,3018,1,2,604.0,,,Hobsons Bay,-37.8631,144.8195,Western Metropolitan,3099.0,85.62162
Altona,4,h,931000.0,S,3018,2,3,532.0,,1970,Hobsons Bay,-37.8637,144.8365,Western Metropolitan,3099.0,85.62162
Altona,2,h,535600.0,SP,3018,1,1,154.0,91.0,1996,Hobsons Bay,-37.8646,144.8272,Western Metropolitan,3099.0,85.62162
Altona North,5,h,1085000.0,S,3025,3,5,592.0,251.0,1965,Hobsons Bay,-37.8388,144.8567,Western Metropolitan,3099.0,113.76471
Altona North,3,h,781000.0,S,3025,1,2,533.0,117.0,1970,Hobsons Bay,-37.8291,144.835,Western Metropolitan,3099.0,113.76471
Altona North,3,h,750000.0,SP,3025,1,3,554.0,,,Hobsons Bay,-37.8449,144.85,Western Metropolitan,3099.0,113.76471
Altona North,2,t,421000.0,S,3025,1,1,77.0,77.0,2009,Hobsons Bay,-37.8351,144.8529,Western Metropolitan,3099.0,113.76471
Altona North,3,h,1405000.0,S,3025,1,3,655.0,,,Hobsons Bay,-37.8338,144.8562,Western Metropolitan,3099.0,113.76471
Altona North,3,h,683000.0,S,3025,1,2,534.0,167.0,1967,Hobsons Bay,-37.8284,144.8355,Western Metropolitan,3099.0,113.76471
Altona North,3,h,623000.0,S,3025,1,3,540.0,,,Hobsons Bay,-37.8267,144.8368,Western Metropolitan,3099.0,113.76471
Altona North,3,h,720000.0,VB,3025,2,1,0.0,130.0,2012,Hobsons Bay,-37.8379,144.8583,Western Metropolitan,3099.0,113.76471
Altona North,3,h,588000.0,S,3025,1,1,328.0,118.0,1970,Hobsons Bay,-37.838,144.8555,Western Metropolitan,3099.0,113.76471
Altona North,3,h,710000.0,PI,3025,1,3,540.0,116.0,1960,Hobsons Bay,-37.8294,144.8378,Western Metropolitan,3099.0,113.76471
Altona North,4,h,875000.0,SP,3025,1,4,559.0,169.0,1965,Hobsons Bay,-37.8448,144.8529,Western Metropolitan,3099.0,113.76471
Altona North,3,h,700000.0,VB,3025,1,3,554.0,,,Hobsons Bay,-37.8449,144.85,Western Metropolitan,3099.0,113.76471
Altona North,2,t,640000.0,S,3025,1,1,252.0,,1965,Hobsons Bay,-37.8397,144.8602,Western Metropolitan,3099.0,113.76471
Altona North,4,h,650000.0,SP,3025,1,4,558.0,,,Hobsons Bay,-37.8451,144.8529,Western Metropolitan,3099.0,113.76471
Altona North,3,h,675000.0,S,3025,2,2,171.0,109.0,2012,Hobsons Bay,-37.8337,144.8554,Western Metropolitan,3099.0,113.76471
Altona North,3,h,708000.0,S,3025,1,2,585.0,97.0,1960,Hobsons Bay,-37.8258,144.8523,Western Metropolitan,3099.0,113.76471
Altona North,4,h,965000.0,SP,3025,1,4,851.0,,,Hobsons Bay,-37.8345,144.8444,Western Metropolitan,3099.0,113.76471
Altona North,3,h,680000.0,S,3025,1,3,551.0,,,Hobsons Bay,-37.8254,144.8514,Western Metropolitan,3099.0,113.76471
Altona North,3,h,923000.0,S,3025,1,2,740.0,,,Hobsons Bay,-37.8269,144.8455,Western Metropolitan,3099.0,113.76471
Altona North,4,h,693000.0,SP,3025,2,4,315.0,170.0,2008,Hobsons Bay,-37.8391,144.8467,Western Metropolitan,3099.0,113.76471
